test_id,gene_id,symbol,locus,sample_1,sample_2,status,value_1,value_2,log2FoldChange,test_stat,pvalue,padj,sig_cufflinks
XLOC_000079,XLOC_000079,TPRG1L,chr1:3541565-3546691,Control,Dengue,OK,4.33086,5.47453,0.338082,0.381776,0.2922,0.999963,no
XLOC_000082,XLOC_000082,SMIM1,chr1:3689228-3693678,Control,Dengue,OK,1.67211,3.84003,1.19945,0.799174,0.0623,0.788667,no
XLOC_000084,XLOC_000084,RP1-286D6.5,chr1:3694316-3713230,Control,Dengue,OK,0.582262,0.715165,0.296608,0.0426713,0.92265,0.999963,no
XLOC_000085,XLOC_000085,DFFB,chr1:3728644-3802224,Control,Dengue,OK,2.06033,2.40086,0.220679,0.110076,0.73395,0.999963,no
XLOC_000090,XLOC_000090,-,chr1:4663710-4677611,Control,Dengue,OK,1.24205,0.714134,-0.798452,-0.435589,0.2614,0.999963,no
XLOC_000094,XLOC_000094,KCNAB2,chr1:5922664-6161431,Control,Dengue,OK,23.1891,29.8521,0.364386,0.354189,0.35075,0.999963,no
XLOC_000095,XLOC_000095,RNF207,chr1:6241328-6296042,Control,Dengue,OK,0.598069,0.954299,0.67413,0.0690629,0.76905,0.999963,no
XLOC_000098,XLOC_000098,RP1-202O8.3,chr1:6324133-6455110,Control,Dengue,OK,0.406867,0.222423,-0.87125,-0.138763,0.6048,0.999963,no
XLOC_000099,XLOC_000099,ESPN,chr1:6484847-6580121,Control,Dengue,OK,0.223048,0.527286,1.24123,0.226545,0.05375,0.743488,no
XLOC_000103,XLOC_000103,ZBTB48,chr1:6640060-6684245,Control,Dengue,OK,5.04608,7.15129,0.503039,0.321742,0.43155,0.999963,no
XLOC_000104,XLOC_000104,PHF13,chr1:6640060-6684245,Control,Dengue,OK,1.30637,1.67039,0.354619,0.139292,0.70435,0.999963,no
XLOC_000105,XLOC_000105,THAP3,chr1:6684835-6761984,Control,Dengue,OK,3.40314,5.14569,0.596495,0.349165,0.37665,0.999963,no
XLOC_000108,XLOC_000108,CAMTA1,chr1:6845383-7829766,Control,Dengue,OK,25.9721,24.6633,-0.0745997,-0.0633502,0.84545,0.999963,no
XLOC_000111,XLOC_000111,VAMP3,chr1:7831328-7842325,Control,Dengue,OK,88.3728,98.4774,0.15619,0.0911342,0.79305,0.999963,no
XLOC_000112,XLOC_000112,RP3-467L1.6,chr1:7831328-7842325,Control,Dengue,OK,1.90064,1.91432,0.0103481,0.00171578,0.98045,0.999963,no
XLOC_000113,XLOC_000113,PER3,chr1:7844361-7973314,Control,Dengue,OK,1.53426,1.47349,-0.0583027,-0.0275893,0.9127,0.999963,no
XLOC_000115,XLOC_000115,PARK7,chr1:8014350-8045565,Control,Dengue,OK,87.3828,71.8897,-0.281565,-0.368016,0.3188,0.999963,no
XLOC_000121,XLOC_000121,"RERE,RP5-1115A15.1",chr1:8412221-8877702,Control,Dengue,OK,1.54936,1.49687,-0.0497295,-0.0108725,0.96545,0.999963,no
XLOC_000129,XLOC_000129,CA6,chr1:9005925-9035151,Control,Dengue,OK,0.742909,0.575197,-0.36913,-0.19699,0.51475,0.999963,no
XLOC_000132,XLOC_000132,H6PD,chr1:9293643-9335208,Control,Dengue,OK,4.27846,5.21098,0.284463,0.261599,0.48815,0.999963,no
XLOC_000134,XLOC_000134,SPSB1,chr1:9352938-9430822,Control,Dengue,OK,1.57474,3.1708,1.00973,0.843526,0.03395,0.619666,no
XLOC_000135,XLOC_000135,SLC25A33,chr1:9599288-9645408,Control,Dengue,OK,1.80626,2.58119,0.515034,0.435156,0.2208,0.999963,no
XLOC_000136,XLOC_000136,RP13-15M17.1,chr1:9599288-9645408,Control,Dengue,OK,0.492627,0.86784,0.816934,0.249517,0.52015,0.999963,no
XLOC_000137,XLOC_000137,TMEM201,chr1:9648979-9674931,Control,Dengue,OK,0.340244,0.705147,1.05135,0.720733,0.0233,0.525376,no
XLOC_000138,XLOC_000138,PIK3CD,chr1:9688665-9884584,Control,Dengue,OK,16.9305,24.7451,0.547516,0.424285,0.21465,0.999963,no
XLOC_000140,XLOC_000140,RP11-84A14.5,chr1:9908223-9970402,Control,Dengue,OK,0.44807,0.530104,0.242551,0.053049,0.9174,0.999963,no
XLOC_000142,XLOC_000142,NMNAT1,chr1:9982170-10045784,Control,Dengue,OK,2.96197,2.62358,-0.17502,-0.0816336,0.83145,0.999963,no
XLOC_000143,XLOC_000143,RN7SKP269,chr1:9982170-10045784,Control,Dengue,OK,0.432632,0.0237168,-4.18916,-0.13918,0.44325,0.999963,no
XLOC_000145,XLOC_000145,RBP7,chr1:10057263-10076081,Control,Dengue,OK,11.3415,15.287,0.430698,0.589823,0.22785,0.999963,no
XLOC_000146,XLOC_000146,UBE4B,chr1:10092889-10241297,Control,Dengue,OK,6.37994,5.93529,-0.104223,-0.10359,0.77555,0.999963,no
XLOC_000149,XLOC_000149,KIF1B,chr1:10270599-10442114,Control,Dengue,OK,11.8328,16.9406,0.517696,0.372197,0.3097,0.999963,no
XLOC_000153,XLOC_000153,PGD,chr1:10458648-10480324,Control,Dengue,OK,72.1144,83.8042,0.216736,0.300177,0.45685,0.999963,no
XLOC_000154,XLOC_000154,"APITD1,APITD1-CORT,CORT",chr1:10489937-10512210,Control,Dengue,OK,2.22595,1.97779,-0.170532,-0.134866,0.7296,0.999963,no
XLOC_000156,XLOC_000156,PEX14,chr1:10516250-10692591,Control,Dengue,OK,4.76604,6.56687,0.462413,0.327433,0.39775,0.999963,no
XLOC_000160,XLOC_000160,"RP4-635E18.9,TARDBP",chr1:11072400-11107290,Control,Dengue,OK,28.6792,24.6823,-0.216527,-0.180298,0.57545,0.999963,no
XLOC_000168,XLOC_000168,UBIAD1,chr1:11333237-11358270,Control,Dengue,OK,2.60697,3.41242,0.388419,0.347659,0.35675,0.999963,no
XLOC_000171,XLOC_000171,"FBXO44,FBXO6",chr1:11708423-11751707,Control,Dengue,OK,16.0388,24.3486,0.602272,0.625401,0.1226,0.995346,no
XLOC_000173,XLOC_000173,AGTRAP,chr1:11793715-11814880,Control,Dengue,OK,35.3643,57.1402,0.692212,0.84614,0.0236,0.529447,no
XLOC_000175,XLOC_000175,CLCN6,chr1:11821843-11910800,Control,Dengue,OK,6.60354,9.67274,0.550684,0.314747,0.36895,0.999963,no
XLOC_000177,XLOC_000177,RNU5E-1,chr1:11968035-11970196,Control,Dengue,OK,157.423,108.346,-0.538997,-2.96551,0.2889,0.999963,no
XLOC_000178,XLOC_000178,PLOD1,chr1:11994261-12035658,Control,Dengue,OK,5.99649,8.33439,0.474957,0.593271,0.15775,0.999963,no
XLOC_000179,XLOC_000179,MFN2,chr1:12039699-12073670,Control,Dengue,OK,15.6417,18.9285,0.275167,0.294169,0.41715,0.999963,no
XLOC_000180,XLOC_000180,MIIP,chr1:12079506-12092102,Control,Dengue,OK,11.4207,20.1881,0.821858,1.0907,0.00885,0.32745,no
XLOC_000181,XLOC_000181,TNFRSF8,chr1:12123433-12205816,Control,Dengue,OK,2.61525,4.23871,0.696677,0.793183,0.0609,0.781557,no
XLOC_000182,XLOC_000182,TNFRSF1B,chr1:12220289-12274170,Control,Dengue,OK,70.6802,118.343,0.743594,0.856638,0.0435,0.683041,no
XLOC_000184,XLOC_000184,VPS13D,chr1:12274354-12587613,Control,Dengue,OK,10.9342,10.0432,-0.122627,-0.062291,0.75055,0.999963,no
XLOC_000215,XLOC_000215,PRDM2,chr1:14025228-14151594,Control,Dengue,OK,16.6385,17.2565,0.0526168,0.0359124,0.90705,0.999963,no
XLOC_000217,XLOC_000217,TMEM51,chr1:14925199-15547162,Control,Dengue,OK,0.764328,1.76931,1.21093,0.867092,0.02445,0.536961,no
XLOC_000220,XLOC_000220,"CTRC,EFHD2",chr1:15729053-15776305,Control,Dengue,OK,60.4698,101.284,0.744118,1.04579,0.0061,0.273006,no
XLOC_000222,XLOC_000222,DNAJC16,chr1:15783222-15930121,Control,Dengue,OK,5.75027,5.07698,-0.179661,-0.120531,0.68975,0.999963,no
XLOC_000223,XLOC_000223,SCARNA21,chr1:15783222-15930121,Control,Dengue,OK,0.900357,2.29338,1.34891,0.0377356,0.62055,0.999963,no
XLOC_000224,XLOC_000224,CHCHD2P6,chr1:15930656-15936194,Control,Dengue,OK,4.95808,5.52873,0.157168,0.124423,0.7619,0.999963,no
XLOC_000225,XLOC_000225,"DDI2,RSC1A1",chr1:15943936-15995778,Control,Dengue,OK,9.91439,9.31727,-0.0896174,-0.0796278,0.8336,0.999963,no
XLOC_000226,XLOC_000226,"PLEKHM2,SLC25A34",chr1:16010826-16076391,Control,Dengue,OK,6.80702,13.2032,0.95579,0.947052,0.01335,0.394995,no
XLOC_000230,XLOC_000230,RP11-169K16.8,chr1:16154726-16155164,Control,Dengue,OK,6.1013,5.98212,-0.0284609,-0.0323165,0.9544,0.999963,no
XLOC_000231,XLOC_000231,SPEN,chr1:16160968-16302691,Control,Dengue,OK,20.9002,22.9074,0.132298,0.0725511,0.8356,0.999963,no
XLOC_000233,XLOC_000233,RP11-5P18.1,chr1:16160968-16302691,Control,Dengue,OK,0.720102,0.956244,0.409178,0.0250692,0.7507,0.999963,no
XLOC_000242,XLOC_000242,SZRD1,chr1:16679069-16763919,Control,Dengue,OK,20.8102,33.4149,0.683202,0.773754,0.0437,0.683579,no
XLOC_000243,XLOC_000243,NECAP2,chr1:16766891-16787345,Control,Dengue,OK,41.162,49.1815,0.256803,0.348212,0.41705,0.999963,no
XLOC_000244,XLOC_000244,RP4-798A10.2,chr1:16787442-16976784,Control,Dengue,HIDATA,0.0,0.0,0.0,0.0,1.0,1.0,no
XLOC_000245,XLOC_000245,RP4-798A10.7,chr1:16787442-16976784,Control,Dengue,HIDATA,0.0,0.0,0.0,0.0,1.0,1.0,no
XLOC_000246,XLOC_000246,RP4-798A10.4,chr1:16787442-16976784,Control,Dengue,HIDATA,0.0,0.0,0.0,0.0,1.0,1.0,no
XLOC_000247,XLOC_000247,AL355149.2,chr1:16787442-16976784,Control,Dengue,HIDATA,0.0,0.0,0.0,0.0,1.0,1.0,no
XLOC_000248,XLOC_000248,AL355149.1,chr1:16787442-16976784,Control,Dengue,HIDATA,0.0,0.0,0.0,0.0,1.0,1.0,no
XLOC_000249,XLOC_000249,RP5-1182A14.5,chr1:16787442-16976784,Control,Dengue,HIDATA,0.0,0.0,0.0,0.0,1.0,1.0,no
XLOC_000250,XLOC_000250,MST1P2,chr1:16787442-16976784,Control,Dengue,HIDATA,0.0,0.0,0.0,0.0,1.0,1.0,no
XLOC_000251,XLOC_000251,RP1-163M9.8,chr1:16983373-16994019,Control,Dengue,HIDATA,0.0,0.0,0.0,0.0,1.0,1.0,no
XLOC_000255,XLOC_000255,CROCC,chr1:17066432-17299474,Control,Dengue,HIDATA,0.0,0.0,0.0,0.0,1.0,1.0,no
XLOC_000256,XLOC_000256,RNU1-4,chr1:17066432-17299474,Control,Dengue,HIDATA,0.0,0.0,0.0,0.0,1.0,1.0,no
XLOC_000257,XLOC_000257,RP11-108M9.2,chr1:17066432-17299474,Control,Dengue,HIDATA,0.0,0.0,0.0,0.0,1.0,1.0,no
XLOC_000258,XLOC_000258,RP11-108M9.3,chr1:17066432-17299474,Control,Dengue,HIDATA,0.0,0.0,0.0,0.0,1.0,1.0,no
XLOC_000259,XLOC_000259,RP11-108M9.5,chr1:17066432-17299474,Control,Dengue,HIDATA,0.0,0.0,0.0,0.0,1.0,1.0,no
XLOC_000260,XLOC_000260,RNU1-2,chr1:17066432-17299474,Control,Dengue,HIDATA,0.0,0.0,0.0,0.0,1.0,1.0,no
XLOC_000267,XLOC_000267,PADI4,chr1:17634660-17690515,Control,Dengue,OK,15.1566,16.9322,0.15983,0.190198,0.64995,0.999963,no
XLOC_000268,XLOC_000268,PADI6,chr1:17698690-17728232,Control,Dengue,OK,0.295051,0.57828,0.970803,0.605973,0.1328,0.999963,no
XLOC_000271,XLOC_000271,ARHGEF10L,chr1:17866329-18024439,Control,Dengue,OK,5.43389,9.26221,0.76937,0.768967,0.0521,0.736133,no
XLOC_000283,XLOC_000283,MRTO4,chr1:19397884-19588341,Control,Dengue,OK,4.03519,4.5431,0.171041,0.0349895,0.9208,0.999963,no
XLOC_000285,XLOC_000285,PQLC2,chr1:19638796-19663976,Control,Dengue,OK,1.64924,2.63833,0.677823,0.475223,0.1798,0.999963,no
XLOC_000288,XLOC_000288,"MINOS1,MINOS1-NBL1,NBL1",chr1:19918295-19985045,Control,Dengue,OK,12.2504,11.1961,-0.129835,-0.0966033,0.79265,0.999963,no
XLOC_000289,XLOC_000289,RP5-1056L3.3,chr1:19918295-19985045,Control,Dengue,OK,1.61276,1.93014,0.259175,0.080211,0.8625,0.999963,no
XLOC_000292,XLOC_000292,OTUD3,chr1:20208871-20239538,Control,Dengue,OK,1.69585,1.99446,0.233996,0.12242,0.6442,0.999963,no
XLOC_000302,XLOC_000302,CDA,chr1:20915295-20946105,Control,Dengue,OK,7.01931,11.2128,0.675745,0.744907,0.066,0.806201,no
XLOC_000303,XLOC_000303,PINK1,chr1:20959819-20988041,Control,Dengue,OK,4.94666,8.05149,0.702801,0.346367,0.356,0.999963,no
XLOC_000307,XLOC_000307,HSPE1P27,chr1:21132572-21503893,Control,Dengue,OK,0.121247,0.459208,1.9212,0.0705191,0.41885,0.999963,no
XLOC_000308,XLOC_000308,RP3-329E20.2,chr1:21542384-21672238,Control,Dengue,OK,3.61555,5.32998,0.559913,0.156854,0.75325,0.999963,no
XLOC_000309,XLOC_000309,RP5-1071N3.1,chr1:21542384-21672238,Control,Dengue,OK,1.01386,3.23125,1.67223,0.548344,0.27495,0.999963,no
XLOC_000312,XLOC_000312,HS6ST1P1,chr1:21754795-21756029,Control,Dengue,OK,0.289748,0.465311,0.683397,0.490516,0.2559,0.999963,no
XLOC_000314,XLOC_000314,NBPF3,chr1:21766599-21811498,Control,Dengue,OK,2.5975,2.55945,-0.0212912,-0.0178102,0.9668,0.999963,no
XLOC_000315,XLOC_000315,ALPL,chr1:21835864-21911014,Control,Dengue,OK,1.80255,4.18782,1.21616,0.62185,0.0814,0.872772,no
XLOC_000326,XLOC_000326,LINC00339,chr1:22350482-22358253,Control,Dengue,OK,5.84346,6.01305,0.0412748,0.0434195,0.913,0.999963,no
XLOC_000327,XLOC_000327,CDC42,chr1:22379028-22470462,Control,Dengue,OK,127.139,138.724,0.125813,0.165771,0.6896,0.999963,no
XLOC_000328,XLOC_000328,CDC42-IT1,chr1:22379028-22470462,Control,Dengue,OK,1.78534,2.33991,0.390249,0.0672756,0.8824,0.999963,no
XLOC_000330,XLOC_000330,ZBTB40,chr1:22778304-22858662,Control,Dengue,OK,6.36719,6.69808,0.0730901,0.082011,0.82535,0.999963,no
XLOC_000332,XLOC_000332,"C1QA,C1QC",chr1:22962943-22974603,Control,Dengue,OK,44.3909,48.6881,0.133306,0.150487,0.7071,0.999963,no
XLOC_000333,XLOC_000333,C1QB,chr1:22979254-22988031,Control,Dengue,OK,29.8309,30.6383,0.0385252,0.0462395,0.9133,0.999963,no
XLOC_000334,XLOC_000334,EPHB2,chr1:23037331-23247993,Control,Dengue,OK,1.01621,5.70245,2.48838,1.78578,5e-05,0.0138461,yes
XLOC_000336,XLOC_000336,KDM1A,chr1:23345921-23504301,Control,Dengue,OK,12.2223,12.741,0.0599604,0.0520568,0.88935,0.999963,no
XLOC_000346,XLOC_000346,RPL11,chr1:24018116-24026545,Control,Dengue,OK,767.061,642.484,-0.255681,-0.442112,0.34075,0.999963,no
XLOC_000347,XLOC_000347,TCEB3,chr1:24069644-24104777,Control,Dengue,OK,7.33571,10.7878,0.556396,0.6903,0.0738,0.838434,no
XLOC_000348,XLOC_000348,"LYPLA2,PITHD1",chr1:24104853-24127386,Control,Dengue,OK,21.428,31.3099,0.547124,0.616372,0.09025,0.902644,no
XLOC_000352,XLOC_000352,PNRC2,chr1:24285598-24289952,Control,Dengue,OK,3.33217,2.92369,-0.188671,-0.176786,0.67355,0.999963,no
XLOC_000358,XLOC_000358,NIPAL3,chr1:24634045-24803051,Control,Dengue,OK,6.45896,6.73014,0.0593345,0.0587724,0.87225,0.999963,no
XLOC_000359,XLOC_000359,RCAN3,chr1:24822762-24882515,Control,Dengue,OK,16.5227,13.9065,-0.248683,-0.171227,0.63945,0.999963,no
XLOC_000362,XLOC_000362,SRRM1,chr1:24958206-25001828,Control,Dengue,OK,32.9823,32.4643,-0.0228372,-0.0181609,0.95365,0.999963,no
XLOC_000363,XLOC_000363,CLIC4,chr1:25071717-25170874,Control,Dengue,OK,27.9839,21.5384,-0.377681,-0.365406,0.2101,0.999963,no
XLOC_000364,XLOC_000364,-,chr1:25183536-25200010,Control,Dengue,OK,0.370929,0.543259,0.5505,0.408667,0.2708,0.999963,no
XLOC_000365,XLOC_000365,"RP11-84D1.1,RUNX3",chr1:25215316-25291675,Control,Dengue,OK,0.806044,1.50024,0.896268,0.401277,0.09105,0.905479,no
XLOC_000366,XLOC_000366,MIR4425,chr1:25346813-25357380,Control,Dengue,OK,0.433823,0.83953,0.952474,0.520728,0.04515,0.693409,no
XLOC_000369,XLOC_000369,"RHD,TMEM50A",chr1:25565677-25756683,Control,Dengue,OK,69.3468,72.0232,0.054633,0.0339521,0.91635,0.999963,no
XLOC_000371,XLOC_000371,RP3-469D22.1,chr1:25565677-25756683,Control,Dengue,OK,9.77924,10.7412,0.135362,0.0223534,0.95775,0.999963,no
XLOC_000373,XLOC_000373,TMEM57,chr1:25757348-25828674,Control,Dengue,OK,6.77179,8.24405,0.283815,0.311964,0.3727,0.999963,no
XLOC_000374,XLOC_000374,LDLRAP1,chr1:25870060-25896764,Control,Dengue,OK,10.2463,9.42562,-0.120441,-0.142094,0.7215,0.999963,no
XLOC_000376,XLOC_000376,MAN1C1,chr1:25943302-26114237,Control,Dengue,OK,2.00744,2.70046,0.427843,0.403801,0.2749,0.999963,no
XLOC_000377,XLOC_000377,"MTFR1L,RP1-317E23.6,SEPN1",chr1:26126666-26202230,Control,Dengue,OK,15.1877,15.5659,0.0354831,0.0408786,0.91765,0.999963,no
XLOC_000378,XLOC_000378,RP1-125I3.2,chr1:26126666-26202230,Control,Dengue,OK,1.09941,1.26224,0.19926,0.0583449,0.89705,0.999963,no
XLOC_000388,XLOC_000388,PDIK1L,chr1:26437655-26452949,Control,Dengue,OK,4.21382,2.98897,-0.495477,-0.421398,0.14215,0.999963,no
XLOC_000390,XLOC_000390,"CNKSR1,ZNF593",chr1:26496006-26516377,Control,Dengue,OK,1.82383,2.57537,0.497806,0.414186,0.2294,0.999963,no
XLOC_000393,XLOC_000393,"CEP85,SH3BGRL3",chr1:26560643-26680621,Control,Dengue,OK,107.662,126.416,0.23167,0.176105,0.64355,0.999963,no
XLOC_000394,XLOC_000394,CD52,chr1:26560643-26680621,Control,Dengue,OK,620.625,528.262,-0.232468,-0.249403,0.5691,0.999963,no
XLOC_000397,XLOC_000397,"DHDDS,HMGN2",chr1:26758723-26804978,Control,Dengue,OK,40.9541,49.3958,0.270382,0.256613,0.45635,0.999963,no
XLOC_000398,XLOC_000398,RPS6KA1,chr1:26856251-26901587,Control,Dengue,OK,32.5487,49.1741,0.595297,0.738191,0.0794,0.868646,no
XLOC_000401,XLOC_000401,ARID1A,chr1:27021642-27108721,Control,Dengue,OK,10.1038,13.5696,0.425472,0.400748,0.28325,0.999963,no
XLOC_000403,XLOC_000403,PIGV,chr1:27108793-27127192,Control,Dengue,OK,2.7627,3.72882,0.432641,0.320209,0.3634,0.999963,no
XLOC_000405,XLOC_000405,ZDHHC18,chr1:27153191-27186652,Control,Dengue,OK,8.55224,22.3698,1.38718,1.00825,0.006,0.26921,no
XLOC_000408,XLOC_000408,NUDC,chr1:27202508-27273383,Control,Dengue,OK,7.2038,8.50305,0.239222,0.215101,0.6275,0.999963,no
XLOC_000411,XLOC_000411,TRNP1,chr1:27320197-27327389,Control,Dengue,OK,0.222782,0.498167,1.16099,0.446075,0.10355,0.93533,no
XLOC_000413,XLOC_000413,NPM1P39,chr1:27533420-27534287,Control,Dengue,OK,13.0864,9.66013,-0.437952,-0.558128,0.2037,0.999963,no
XLOC_000415,XLOC_000415,"TMEM222,WDTC1",chr1:27561006-27662974,Control,Dengue,OK,11.2241,16.6224,0.566533,0.705162,0.07085,0.829376,no
XLOC_000417,XLOC_000417,"ACTG1P20,RNU6-48P",chr1:27561006-27662974,Control,Dengue,OK,2.26635,3.05945,0.432905,0.118116,0.7545,0.999963,no
XLOC_000418,XLOC_000418,SYTL1,chr1:27668147-27680428,Control,Dengue,OK,15.3242,21.8757,0.513519,0.650194,0.0825,0.879223,no
XLOC_000421,XLOC_000421,RP4-752I6.1,chr1:27719147-27816683,Control,Dengue,OK,0.443768,0.658173,0.56866,0.0266087,0.7181,0.999963,no
XLOC_000423,XLOC_000423,RP1-159A19.3,chr1:27975762-27977064,Control,Dengue,OK,76.0816,61.0892,-0.316629,-0.354846,0.4978,0.999963,no
XLOC_000424,XLOC_000424,RP11-288L9.4,chr1:27985113-28029574,Control,Dengue,OK,0.9805,3.81264,1.9592,0.121485,0.7129,0.999963,no
XLOC_000426,XLOC_000426,FAM76A,chr1:28052450-28089633,Control,Dengue,OK,4.03816,5.46475,0.436458,0.434428,0.2328,0.999963,no
XLOC_000429,XLOC_000429,STX12,chr1:28098668-28151527,Control,Dengue,OK,50.5605,26.6813,-0.922185,-1.35585,0.0126,0.387019,no
XLOC_000430,XLOC_000430,RP3-426I6.5,chr1:28098668-28151527,Control,Dengue,OK,3.8161,7.90113,1.04996,0.39785,0.78915,0.999963,no
XLOC_000431,XLOC_000431,RP3-426I6.6,chr1:28098668-28151527,Control,Dengue,OK,0.61613,0.469835,-0.391081,-0.0193099,0.66535,0.999963,no
XLOC_000432,XLOC_000432,PPP1R8,chr1:28157276-28178290,Control,Dengue,OK,14.1468,15.2887,0.111989,0.114386,0.7648,0.999963,no
XLOC_000433,XLOC_000433,SCARNA1,chr1:28157276-28178290,Control,Dengue,OK,489.032,431.668,-0.180008,-0.796179,0.74115,0.999963,no
XLOC_000434,XLOC_000434,THEMIS2,chr1:28199016-28241563,Control,Dengue,OK,100.355,135.719,0.435514,0.388962,0.30635,0.999963,no
XLOC_000435,XLOC_000435,SMPDL3B,chr1:28261503-28295131,Control,Dengue,OK,0.432704,0.759016,0.810749,0.229759,0.48475,0.999963,no
XLOC_000436,XLOC_000436,XKR8,chr1:28261503-28295131,Control,Dengue,OK,4.86734,6.58683,0.436451,0.449107,0.2012,0.999963,no
XLOC_000438,XLOC_000438,RP5-1053E7.3,chr1:28445193-28455004,Control,Dengue,OK,0.689471,1.5888,1.20438,0.803834,0.03795,0.649843,no
XLOC_000439,XLOC_000439,AL353354.2,chr1:28525276-28559638,Control,Dengue,OK,14.8435,15.1779,0.0321417,0.0213968,0.97295,0.999963,no
XLOC_000440,XLOC_000440,ATPIF1,chr1:28562115-28574974,Control,Dengue,OK,32.5,34.7458,0.0964002,0.137674,0.78235,0.999963,no
XLOC_000442,XLOC_000442,SESN2,chr1:28586037-28609325,Control,Dengue,OK,1.68275,4.0818,1.27838,1.41378,0.0003,0.0458353,yes
XLOC_000443,XLOC_000443,MED18,chr1:28655512-28662622,Control,Dengue,OK,3.67084,4.08346,0.153683,0.136526,0.6975,0.999963,no
XLOC_000444,XLOC_000444,PHACTR4,chr1:28696015-28827027,Control,Dengue,OK,5.02709,6.5808,0.38854,0.420143,0.2851,0.999963,no
XLOC_000447,XLOC_000447,RCC1,chr1:28831648-28865812,Control,Dengue,OK,23823.6,24227.0,0.0242227,0.0221345,0.9564,0.999963,no
